"GRAD_DEBT_MDN_SUPP","TUITFTE","CONTROL","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","INEXPFTE","INSTNM","OPEID","CCSIZSET","CCUGPROF","ADM_RATE","RELAFFIL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","INC_PCT_LO"
"33611.5",9063,1,7182,12774,7079,7459,"Alabama A & M University",100200,14,9,0.8989,NA,0.6314,NA,0.5,NA,13415,NA,NA,NA,12683,13292,16104,16944,15416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12807,NA,NA,NA,14393,NA,16411,NA,NA,NA,NA,NA,"0.389901823","0.011687705","0.378214119","0.610098177","PrivacySuppressed"
"23117",9033,1,7206,16398,10170,17208,"University of Alabama at Birmingham",105200,15,8,0.8673,NA,0.8016,NA,0.5,NA,14805,NA,NA,NA,12361,13765,16670,17096,17291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12846,NA,NA,NA,15038,NA,17190,NA,NA,NA,NA,NA,"0.345362017","0.023132084","0.322229933","0.654637983","PrivacySuppressed"
"PrivacySuppressed",12057,2,6870,6870,3849,5123,"Amridge University",2503400,6,6,NA,74,0.375,NA,0.3333,NA,NA,7455,NA,NA,NA,NA,NA,NA,NA,6736,9974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7455,NA,NA,NA,9974,NA,NA,NA,NA,NA,NA,"0.550314465","0.050314465","0.5","0.449685535","PrivacySuppressed"
"24738",8322,1,9192,21506,9341,9352,"University of Alabama in Huntsville",105500,12,8,0.8062,NA,0.8098,NA,0.4444,NA,17520,NA,NA,NA,14652,16334,19016,20263,20306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15239,NA,NA,NA,17621,NA,20283,NA,NA,NA,NA,NA,"0.337618781","0.023476803","0.314141979","0.662381219","0.488624612"
"33452",7813,1,8720,15656,6557,7393,"Alabama State University",100500,13,9,0.5125,NA,0.6219,NA,0.3023,NA,11936,NA,NA,NA,12342,10811,11362,13079,2948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12074,NA,NA,NA,10986,NA,10594,NA,NA,NA,NA,NA,"0.377664652","0.016226535","0.361438116","0.622335348","0.688963211"
"24000",12198,1,9450,23950,9605,9817,"The University of Alabama",105100,16,10,0.5655,NA,0.87,NA,0.6563,NA,20916,NA,NA,NA,17206,19960,21363,23115,23748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18113,NA,NA,NA,20725,NA,23479,NA,NA,NA,NA,NA,"0.260525012","0.010029718","0.250495295","0.739474988","0.302561681"
"PrivacySuppressed",2371,1,4200,7500,5805,5935,"Central Alabama Community College",100700,2,3,NA,NA,NA,0.4267,NA,0.4159,6407,NA,NA,NA,6330,6032,7802,10512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6312,NA,NA,NA,6676,NA,10512,NA,NA,NA,NA,NA,"0.559836066","0.073770492","0.486065574","0.440163934","0.707112971"
"18832",5094,1,NA,NA,7672,6176,"Athens State University",100800,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.479041916","0.055222888","0.423819029","0.520958084","0.553308824"
"21791",7625,1,8750,24950,7173,6817,"Auburn University at Montgomery",831000,12,8,0.8371,NA,0.6321,NA,0.4545,NA,11915,NA,NA,NA,9044,11037,14542,15537,15579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9521,NA,NA,NA,13052,NA,15556,NA,NA,NA,NA,NA,"0.407707911","0.027383367","0.380324544","0.592292089","PrivacySuppressed"
"22250",13186,1,9852,26364,9429,11324,"Auburn University",100900,15,13,0.8274,NA,0.8946,NA,0.8529,NA,17541,NA,NA,NA,13191,16272,18240,19276,20142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14167,NA,NA,NA,17463,NA,19812,NA,NA,NA,NA,NA,"0.196486018","0.00420688","0.192279139","0.803513982","0.27736704"
